time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-01T08:19:49.860Z,64.1014,-148.8004,10.7,2.8,ml,,,,0.95,ak,ak18879154,2018-04-01T09:12:28.760Z,"28km NNE of Healy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-01T08:08:55.990Z,-20.6507,169.7314,83.46,4.7,mb,,106,1.79,0.42,us,us1000dc2r,2018-04-01T08:33:26.040Z,"131km SSE of Isangel, Vanuatu",earthquake,10.1,2.2,0.073,57,reviewed,us,us
2018-04-01T06:54:57.540Z,-17.791,-178.5701,545.84,4.4,mb,,73,8.302,0.78,us,us1000dc2d,2018-04-01T07:20:42.040Z,"265km SE of Lambasa, Fiji",earthquake,10.5,4.9,0.067,64,reviewed,us,us
2018-04-01T06:42:03.980Z,17.2398,-64.6438,40,3.19,md,8,233,1.5054,0.37,pr,pr2018091001,2018-04-01T09:49:02.040Z,"20km N of Christiansted, U.S. Virgin Islands",earthquake,5.34,22.73,0.2,8,reviewed,pr,pr
2018-04-01T04:38:53.240Z,55.9025,-149.2756,7.2,3.8,mb,,153,2.584,0.84,us,us1000dc1h,2018-04-01T06:33:54.461Z,"284km SE of Kodiak, Alaska",earthquake,7.7,6.7,0.294,3,reviewed,us,us
2018-04-01T03:32:03.740Z,8.9099,-82.9356,10.69,4.2,mb,,76,0.27,0.89,us,us1000dc20,2018-04-01T20:02:42.681Z,"10km NNE of San Vito, Costa Rica",earthquake,4.3,6,0.2,7,reviewed,us,us
2018-04-01T01:40:57.290Z,56.2627,-149.1876,22.87,4.4,mb,,139,2.402,0.65,us,us1000dc0e,2018-04-01T03:04:09.930Z,"259km SE of Kodiak, Alaska",earthquake,6.6,5.8,0.051,109,reviewed,us,us
2018-04-01T01:34:48.500Z,35.3982,-98.1356,5,2.8,mb_lg,,84,0.186,0.56,us,us1000dc0b,2018-04-03T02:38:00.606Z,"17km W of Union City, Oklahoma",earthquake,2,2,0.051,99,reviewed,us,us
2018-04-01T01:18:36.560Z,42.3198,85.6281,29.44,4.6,mb,,57,5.068,0.59,us,us1000dc03,2018-04-01T03:30:09.040Z,"75km NW of Korla, China",earthquake,9.3,5.3,0.067,66,reviewed,us,us
2018-04-01T01:14:42.570Z,-30.1883,-72.0156,9.48,4.7,mwr,,57,0.585,1.09,us,us1000dc02,2018-04-01T01:56:04.595Z,"69km WSW of Coquimbo, Chile",earthquake,5,3.6,0.031,100,reviewed,us,us
2018-04-01T00:25:37.230Z,9.4447,-84.5447,10,4.3,mb,,174,0.244,0.73,us,us1000dbzz,2018-04-01T05:11:27.003Z,"21km SSE of Jaco, Costa Rica",earthquake,3.1,1.7,0.218,6,reviewed,us,us
2018-03-31T21:18:35.520Z,-6.2441,142.9834,10,4.6,mb,,98,5.194,0.71,us,us1000dbyq,2018-04-01T04:07:40.040Z,"74km W of Mendi, Papua New Guinea",earthquake,9.1,1.9,0.081,45,reviewed,us,us
2018-03-31T20:43:58.590Z,5.889,125.9013,161.55,4.7,mb,,154,1.215,0.35,us,us1000dbyc,2018-03-31T21:09:57.040Z,"27km ESE of Mangili, Philippines",earthquake,12.4,11.6,0.138,16,reviewed,us,us
